"","GII.Rank","Country","GenIneq","Matmort","AdolBR","ParlPres","SecEduFem","SecEduMal","LabFFem","LabFMal","edu2Ratio","labRatio","HDI.Rank","HumDevIn","LifeExp","ExpEdu","MeanEdu","GNI","GNIRank"
"26",26,"Spain",0.095,4,10.6,38,66.8,73.1,52.5,65.8,1.09431137724551,0.797872340425532,26,0.876,82.6,17.3,9.6,"32,045",7
"27",27,"Italy",0.068,4,4,30.1,71.2,80.5,39.6,59.5,1.13061797752809,0.665546218487395,27,0.873,83.1,16,10.1,"33,030",4
"28",28,"Czech Republic",0.091,5,4.9,18.9,99.9,99.7,51.1,68.3,0.997997997997998,0.748169838945827,28,0.87,78.6,16.4,12.3,"26,660",10
"29",29,"Greece",0.146,5,11.9,21,59.5,67,44.2,62.5,1.12605042016807,0.7072,29,0.865,80.9,17.6,10.3,"24,524",14
"30",30,"Estonia",0.164,11,16.8,19.8,100,100,56.2,68.9,1,0.815674891146589,30,0.861,76.8,16.5,12.5,"25,214",12
"31",31,"Brunei Darussalam",NA,27,23,NA,63.9,67.8,52.6,75.3,1.06103286384977,0.698539176626826,31,0.856,78.8,14.5,8.8,"72,570",-26
"32",32,"Cyprus",0.124,10,5.5,12.5,76,81.7,56,71.1,1.075,0.787623066104079,32,0.85,80.2,14,11.6,"28,633",3
"33",32,"Qatar",0.524,6,9.5,0,66.7,59,50.8,95.5,0.88455772113943,0.531937172774869,32,0.85,78.2,13.8,9.1,"123,124",-31
"34",34,"Andorra",NA,NA,NA,50,49.5,49.3,NA,NA,0.995959595959596,NA,34,0.845,81.3,13.5,9.6,"43,978",-18
"35",35,"Slovakia",0.164,7,15.9,18.7,99.1,99.5,51.1,68.6,1.00403632694248,0.744897959183674,35,0.844,76.3,15.1,12.2,"25,845",5
"36",36,"Poland",0.138,3,12.2,22.1,79.4,85.5,48.9,64.9,1.07682619647355,0.75346687211094,36,0.843,77.4,15.5,11.8,"23,177",10
"37",37,"Lithuania",0.125,11,10.6,23.4,89.1,94.3,55.8,67.3,1.05836139169472,0.829123328380386,37,0.839,73.3,16.4,12.4,"24,500",7
"38",37,"Malta",0.227,9,18.2,13,68.6,78.2,37.9,66.3,1.1399416909621,0.571644042232277,37,0.839,80.6,14.4,10.3,"27,930",-1
"39",39,"Saudi Arabia",0.284,16,10.2,19.9,60.5,70.3,20.2,78.3,1.16198347107438,0.257982120051086,39,0.837,74.3,16.3,8.7,"52,821",-27
"40",40,"Argentina",0.376,69,54.4,36.8,56.3,57.6,47.5,75,1.02309058614565,0.633333333333333,40,0.836,76.3,17.9,9.8,"22,050",11
"41",41,"United Arab Emirates",0.232,8,27.6,17.5,73.1,61.2,46.5,92,0.837209302325582,0.505434782608696,41,0.835,77,13.3,9.5,"60,868",-34
"42",42,"Chile",0.338,22,55.3,15.8,73.3,76.4,49.2,74.8,1.04229195088677,0.657754010695187,42,0.832,81.7,15.2,9.8,"21,290",11
